tier,rank,name,position,positionRank,team,bye,age,pts,adp,vbd
4,192,Blaine Gabbert,QB,QB24,SF,8,,82.46,n/a,-15.17
,193,Minnesota Vikings,D,TD1,MIN,6,,106.88,197,11.73
,194,Carolina Panthers,D,TD2,CAR,7,,105.76,185,10.61
,195,Kansas City Chiefs,D,TD3,KC,5,,104.8,193,9.65
1,196,Stephen Gostkowski,K,PK1,NE,9,,47.68,189,6.51
,197,Denver Broncos,D,TD4,DEN,11,,103.68,186,8.53
1,198,Graham Gano,K,PK2,CAR,7,,46.88,202,5.71
,199,Arizona Cardinals,D,TD5,ARI,9,,102.4,191,7.25
,200,Seattle Seahawks,D,TD5,SEA,5,,102.4,188,7.25
1,201,Mason Crosby,K,PK3,GB,4,,45.6,201,4.43
1,202,Chris Boswell,K,PK4,PIT,8,,45.44,203,4.27
1,203,Steve Hauschka,K,PK5,SEA,5,,44.96,194,3.79
1,204,Chandler Catanzaro,K,PK5,ARI,9,,44.96,208,3.79
1,205,Blair Walsh,K,PK7,MIN,6,,43.52,211,2.35
1,206,Josh Brown,K,PK8,NYG,8,,43.49,216,2.31
,207,Pittsburgh Steelers,D,TD7,PIT,8,,99.36,210,4.21
7,208,Pharoh Cooper,WR,WR83,LA,8,,26.42,n/a,-21.42
1,209,Justin Tucker,K,PK9,BAL,8,,42.4,200,1.23
1,210,Cairo Santos,K,PK10,KC,5,,42.24,213,1.07
,211,Los Angeles Rams,D,TD8,LA,8,,98.72,196,3.57
,212,New England Patriots,D,TD8,NE,9,,98.72,198,3.57
1,213,Brandon McManus,K,PK11,DEN,11,,41.76,207,0.59
1,214,Dan Bailey,K,PK12,DAL,7,,41.6,209,0.43
,215,Philadelphia Eagles,D,TD10,PHI,4,,97.92,212,2.77
,216,Cincinnati Bengals,D,TD10,CIN,9,,97.92,199,2.77
7,217,Adam Humphries,WR,WR84,TB,6,,25.92,n/a,-21.92
7,218,Bruce Ellington,WR,WR85,SF,8,,25.57,158,-22.27
,219,Green Bay Packers,D,TD12,GB,4,,95.68,206,0.53
7,220,Seth Roberts,WR,WR86,OAK,10,,25.44,n/a,-22.4
7,221,Jared Abbrederis,WR,WR87,GB,4,,23.68,n/a,-24.16
7,222,Josh Doctson,WR,WR88,WAS,9,,23.66,n/a,-24.18
7,223,Kendall Wright,WR,WR89,TEN,13,,23.53,n/a,-24.31
7,224,Marc Mariani,WR,WR90,CHI,9,,23.45,n/a,-24.39
7,225,Nelson Agholor,WR,WR91,PHI,4,,22.88,n/a,-24.96
